fecha,Sucursal,bodega,sector,tipo,venta_neta,lineas,facturas
2024-05-01,Medellín,1,Empleados,historico,2222072.0,67.0,50.0
2024-06-01,Medellín,1,Empleados,historico,1890296.49,43.0,35.0
2024-07-01,Medellín,1,Empleados,historico,2148111.0,58.0,44.0
2024-08-01,Medellín,1,Empleados,historico,3577624.0,71.0,56.0
2024-09-01,Medellín,1,Empleados,historico,2459234.0,68.0,57.0
2024-10-01,Medellín,1,Empleados,historico,15815904.46,175.0,125.0
2024-11-01,Medellín,1,Empleados,historico,3579377.3400000003,89.0,53.0
2024-12-01,Medellín,1,Empleados,historico,-155019.12,179.0,124.0
2025-01-01,Medellín,1,Empleados,historico,2752203.0,116.0,83.0
2025-02-01,Medellín,1,Empleados,historico,1951164.0,112.0,86.0
2025-03-01,Medellín,1,Empleados,historico,5963742.75,123.0,90.0
2025-04-01,Medellín,1,Empleados,historico,2276760.92,73.0,62.0
2025-05-01,Medellín,1,Empleados,historico,8423824.0,131.0,90.0
2025-06-01,Medellín,1,Empleados,historico,5941000.0,94.0,65.0
2025-07-01,Medellín,1,Empleados,historico,11434136.0,293.0,149.0
2025-08-01,Medellín,1,Empleados,historico,-4850191.0,192.0,98.0
2025-09-01,Medellín,1,Empleados,historico,-666967.0,74.0,57.0
2025-10-01,Medellín,1,Empleados,historico,4512537.01,154.0,116.0
2025-11-01,Medellín,1,Empleados,historico,2444583.26,81.0,56.0
2025-12-01,Medellín,1,Empleados,historico,19553076.5,264.0,196.0
2026-01-01,Medellín,1,Empleados,historico,5987441.0,185.0,112.0
2026-02-01,Medellín,1,Empleados,historico,10191846.68,117.0,79.0
2026-03-01,Medellín,1,Empleados,historico,-3946874.55,119.0,91.0
2026-04-01,Medellín,1,Empleados,historico,2318532.0,119.0,89.0
2024-01-01,Medellín,1,Equipo de Transporte,historico,13385898.0,27.0,17.0
2024-02-01,Medellín,1,Equipo de Transporte,historico,17358250.05,41.0,24.0
2024-03-01,Medellín,1,Equipo de Transporte,historico,10922690.0,34.0,17.0
2024-04-01,Medellín,1,Equipo de Transporte,historico,23742926.5,26.0,21.0
2024-05-01,Medellín,1,Equipo de Transporte,historico,13615503.0,40.0,24.0
2024-06-01,Medellín,1,Equipo de Transporte,historico,9747461.0,28.0,13.0
2024-07-01,Medellín,1,Equipo de Transporte,historico,6345486.0,18.0,14.0
2024-08-01,Medellín,1,Equipo de Transporte,historico,7364296.0,17.0,10.0
2024-09-01,Medellín,1,Equipo de Transporte,historico,17993554.0,24.0,16.0
2024-10-01,Medellín,1,Equipo de Transporte,historico,68489025.0,43.0,24.0
2024-11-01,Medellín,1,Equipo de Transporte,historico,6619740.0,14.0,12.0
2024-12-01,Medellín,1,Equipo de Transporte,historico,28168667.27,37.0,22.0
2025-01-01,Medellín,1,Equipo de Transporte,historico,3620624.0,9.0,7.0
2025-02-01,Medellín,1,Equipo de Transporte,historico,7058088.0,30.0,16.0
2025-03-01,Medellín,1,Equipo de Transporte,historico,17369206.0,28.0,12.0
2025-04-01,Medellín,1,Equipo de Transporte,historico,2266880.0,2.0,2.0
2025-05-01,Medellín,1,Equipo de Transporte,historico,71166910.0,72.0,22.0
2025-06-01,Medellín,1,Equipo de Transporte,historico,5942550.0,7.0,6.0
2025-07-01,Medellín,1,Equipo de Transporte,historico,16828642.92,26.0,18.0
2025-08-01,Medellín,1,Equipo de Transporte,historico,19329660.0,24.0,19.0
