fecha,Sucursal,bodega,dpto,tipo,venta_neta
2024-08-01,Barranquilla,4,E,historico,411971190.01
2024-08-01,Cartagena,5,0605,historico,61513149.0
2024-08-01,Cartagena,5,07,historico,542503343.0
2024-08-01,Cartagena,5,1301,historico,106913556.0
2024-08-01,Cartagena,5,14,historico,34271885.0
2024-08-01,Cartagena,5,15,historico,112401183.0
2024-08-01,Cartagena,5,1725,historico,77854262.0
2024-08-01,Cartagena,5,25,historico,188060774.0
2024-08-01,Cartagena,5,76,historico,96320704.0
2024-08-01,Cartagena,5,80,historico,55828009.0
2024-08-01,Cartagena,5,E,historico,135715450.15
2024-09-01,Medellín,1,0605,historico,156810116.0
2024-09-01,Medellín,1,07,historico,1264750348.93
2024-09-01,Medellín,1,1301,historico,255409088.0
2024-09-01,Medellín,1,14,historico,58151386.0
2024-09-01,Medellín,1,15,historico,319689923.2
2024-09-01,Medellín,1,1725,historico,151310559.0
2024-09-01,Medellín,1,25,historico,627903253.1
2024-09-01,Medellín,1,76,historico,165762429.0
2024-09-01,Medellín,1,80,historico,352470729.2
2024-09-01,Medellín,1,E,historico,724718301.37
2024-09-01,Bogotá,2,0605,historico,300904898.56
2024-09-01,Bogotá,2,07,historico,1951748686.84
2024-09-01,Bogotá,2,1301,historico,203567680.0
2024-09-01,Bogotá,2,14,historico,129910152.0
2024-09-01,Bogotá,2,15,historico,480514298.85
2024-09-01,Bogotá,2,1725,historico,380026984.9
2024-09-01,Bogotá,2,25,historico,770813563.52
2024-09-01,Bogotá,2,76,historico,220967047.0
2024-09-01,Bogotá,2,80,historico,285750462.8
2024-09-01,Bogotá,2,E,historico,429244580.41
2024-09-01,Cali,3,0605,historico,102244180.56
2024-09-01,Cali,3,07,historico,569551201.45
2024-09-01,Cali,3,1301,historico,150392299.06
2024-09-01,Cali,3,14,historico,39278788.54
2024-09-01,Cali,3,15,historico,133485184.0
2024-09-01,Cali,3,1725,historico,148907852.0
2024-09-01,Cali,3,25,historico,234783025.82
2024-09-01,Cali,3,76,historico,118832948.0
2024-09-01,Cali,3,80,historico,189545268.0
2024-09-01,Cali,3,E,historico,314863942.6
2024-09-01,Barranquilla,4,0605,historico,49700783.0
2024-09-01,Barranquilla,4,07,historico,501107879.5
2024-09-01,Barranquilla,4,1301,historico,61487148.0
2024-09-01,Barranquilla,4,14,historico,91591174.0
